NLSituationNumber,DateFileStart,DateFileEnd,TimeFileStart,TimeFileEnd,FileSeverity,AvgLength,FileDuration,HectometerHead,HectometerTail,RouteLet,RouteNum,RouteOms,hectometreringsrichting,KopWegvakVan,KopWegvakNaar,TrajectoryFrom,TrajectoryTo,CauseGroundDetail,CauseProgress,CauseCodeProgress,CauseCode,Cause1,Cause2,Cause3,Cause4,datetime_x,hour,STN,Date,Hour,WindDirection,WindSpeedAvg,WindSpeed,WindGust,Temperature,MinTemp10cm,DewPoint,SunshineDuration,GlobalRadiation,PrecipitationDuration,PrecipitationAmount,AirPressure,Visibility,CloudCover,Humidity,Weather,WeatherCode,Fog,Rain,Snow,Thunder,IceFormation,datetime_y,TrafficSeverityNormalized,WeatherRelated,NonWeatherRelated,PrevWeatherRelated,NextNonWeatherRelated,TimeDifferenceMinutes,TimeDifferenceCategory
2474048,2019-01-03,2019-03-01,1900-01-01 16:30:00,1900-01-01 16:58:48,"71,433","2,480,324","28,800",174.6,176.6,A,2,A2,aflopend,Leenderheide/Randweg N2,Leenderheide,Maastricht-Noord,Eindhoven,Defective Vehicles,"[Geen oorzaakcode opgegeven door VWM 1], [Defect(e) voertuig(en) 6], [Eerder pechgeval 22], [Geen oorzaakcode opgegeven door VWM 0]","[000], [BKD], [M13], [000]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident,2019-01-03 16:30:00,2019-01-03 16:00:00,350,2019-01-03,16,330,30,20,50,37,     ,13,0,3,0,0,10402,70,1,84,     ,5,0.0,0.0,0.0,0.0,0.0,2019-01-03 16:00:00,0.07143657182859144,False,True,,True,28.8,25-45
2474048,2019-01-03,2019-03-01,1900-01-01 16:30:00,1900-01-01 16:58:48,"71,433","2,480,324","28,800",174.6,176.6,A,2,A2,aflopend,Leenderheide/Randweg N2,Leenderheide,Maastricht-Noord,Eindhoven,Defective Vehicles,"[Geen oorzaakcode opgegeven door VWM 1], [Defect(e) voertuig(en) 6], [Eerder pechgeval 22], [Geen oorzaakcode opgegeven door VWM 0]","[000], [BKD], [M13], [000]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident,2019-01-03 16:30:00,2019-01-03 16:00:00,370,2019-01-03,16,310,20,20,40,49,     ,13,0,3,0,0,10400,75,8,77,     ,5,0.0,0.0,0.0,0.0,0.0,2019-01-03 16:00:00,0.07143657182859144,False,True,False,True,28.8,25-45
2474048,2019-01-03,2019-03-01,1900-01-01 16:30:00,1900-01-01 16:58:48,"71,433","2,480,324","28,800",174.6,176.6,A,2,A2,aflopend,Leenderheide/Randweg N2,Leenderheide,Maastricht-Noord,Eindhoven,Defective Vehicles,"[Geen oorzaakcode opgegeven door VWM 1], [Defect(e) voertuig(en) 6], [Eerder pechgeval 22], [Geen oorzaakcode opgegeven door VWM 0]","[000], [BKD], [M13], [000]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident,2019-01-03 16:30:00,2019-01-03 16:00:00,375,2019-01-03,16,320,20,20,50,51,     ,17,0,3,0,0,10398,75,8,78,     ,5,0.0,0.0,0.0,0.0,0.0,2019-01-03 16:00:00,0.07143657182859144,False,True,False,False,28.8,25-45
2474048,2019-01-03,2019-03-01,1900-01-01 16:30:00,1900-01-01 16:58:48,"71,433","2,480,324","28,800",174.6,176.6,A,2,A2,aflopend,Leenderheide/Randweg N2,Leenderheide,Maastricht-Noord,Eindhoven,Defective Vehicles,"[Geen oorzaakcode opgegeven door VWM 1], [Defect(e) voertuig(en) 6], [Eerder pechgeval 22], [Geen oorzaakcode opgegeven door VWM 0]","[000], [BKD], [M13], [000]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident,2019-01-03 16:30:00,2019-01-03 16:00:00,275,2019-01-03,16,320,20,20,40,35,     ,27,0,5,0,-1,10397,65,8,94,   81,7,0.0,1.0,0.0,0.0,0.0,2019-01-03 16:00:00,0.07143657182859144,True,False,True,False,28.8,25-45
2474152,2019-01-04,2019-04-01,1900-01-01 17:31:00,1900-01-01 18:03:57,"160,700","4,877,087","32,950",163.7,167.7,A,2,A2,aflopend,De Hogt,Batadorp,Maastricht-Noord,Eindhoven,Accidents,"[Ongeval(len) 20], [Eerder(e) ongeval(len) 13]","[ACI], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval,2019-01-04 17:31:00,2019-01-04 17:00:00,275,2019-01-04,17,290,30,30,50,45,     ,41,0,0,5,1,10351,40,8,97,   51,7,0.0,1.0,0.0,0.0,0.0,2019-01-04 17:00:00,0.16070803540177006,True,False,True,True,32.95,25-45
2474150,2019-01-04,2019-04-01,1900-01-01 17:09:00,1900-01-01 17:27:47,"50,217","2,673,469","18,783",163.7,165.7,A,2,A2,aflopend,De Hogt,Batadorp,Maastricht-Noord,Eindhoven,Accidents,"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 18]","[000], [ACI]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval,2019-01-04 17:09:00,2019-01-04 17:00:00,375,2019-01-04,17,260,40,40,60,37,     ,17,0,0,0,0,10357,56,8,87,   10,7,0.0,0.0,0.0,0.0,0.0,2019-01-04 17:00:00,0.050219510975548776,False,True,True,True,18.783333333333335,15-25
2474150,2019-01-04,2019-04-01,1900-01-01 17:09:00,1900-01-01 17:27:47,"50,217","2,673,469","18,783",163.7,165.7,A,2,A2,aflopend,De Hogt,Batadorp,Maastricht-Noord,Eindhoven,Accidents,"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 18]","[000], [ACI]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval,2019-01-04 17:09:00,2019-01-04 17:00:00,370,2019-01-04,17,260,40,40,70,33,     ,9,0,0,0,0,10367,56,8,84,   10,7,0.0,0.0,0.0,0.0,0.0,2019-01-04 17:00:00,0.050219510975548776,False,True,False,False,18.783333333333335,15-25
2474150,2019-01-04,2019-04-01,1900-01-01 17:09:00,1900-01-01 17:27:47,"50,217","2,673,469","18,783",163.7,165.7,A,2,A2,aflopend,De Hogt,Batadorp,Maastricht-Noord,Eindhoven,Accidents,"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 18]","[000], [ACI]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval,2019-01-04 17:09:00,2019-01-04 17:00:00,275,2019-01-04,17,290,30,30,50,45,     ,41,0,0,5,1,10351,40,8,97,   51,7,0.0,1.0,0.0,0.0,0.0,2019-01-04 17:00:00,0.050219510975548776,True,False,False,True,18.783333333333335,15-25
2474152,2019-01-04,2019-04-01,1900-01-01 17:31:00,1900-01-01 18:03:57,"160,700","4,877,087","32,950",163.7,167.7,A,2,A2,aflopend,De Hogt,Batadorp,Maastricht-Noord,Eindhoven,Accidents,"[Ongeval(len) 20], [Eerder(e) ongeval(len) 13]","[ACI], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval,2019-01-04 17:31:00,2019-01-04 17:00:00,350,2019-01-04,17,250,40,40,70,34,     ,13,0,0,0,0,10365,57,8,86,   10,7,0.0,0.0,0.0,0.0,0.0,2019-01-04 17:00:00,0.16070803540177006,False,True,True,True,32.95,25-45
2474152,2019-01-04,2019-04-01,1900-01-01 17:31:00,1900-01-01 18:03:57,"160,700","4,877,087","32,950",163.7,167.7,A,2,A2,aflopend,De Hogt,Batadorp,Maastricht-Noord,Eindhoven,Accidents,"[Ongeval(len) 20], [Eerder(e) ongeval(len) 13]","[ACI], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval,2019-01-04 17:31:00,2019-01-04 17:00:00,370,2019-01-04,17,260,40,40,70,33,     ,9,0,0,0,0,10367,56,8,84,   10,7,0.0,0.0,0.0,0.0,0.0,2019-01-04 17:00:00,0.16070803540177006,False,True,False,True,32.95,25-45
