NLSituationNumber,DateFileStart,DateFileEnd,TimeFileStart,TimeFileEnd,FileSeverity,AvgLength,FileDuration,HectometerHead,HectometerTail,RouteNumber,HectometerDirection,HeadSegmentFrom,HeadSegmentTo,TrajectoryFrom,TrajectoryTo,CauseGroundDetail,Hour,Station,Date,WindDirection,WindSpeedAvg,WindSpeed,WindGust,Temperature,MinTemp10cm,DewPoint,SunshineDuration,GlobalRadiation,PrecipitationDuration,PrecipitationAmount,AirPressure,Visibility,CloudCover,Humidity,Weather,WeatherCode,Fog,Rain,Snow,Thunder,IceFormation,WayOfTraffic
2474048.0,2019-01-03,2019-01-03,16:30:00,16:58:48,71433,2480324,28.8,174.6,176.6,2.0,aflopend,Leenderheide/Randweg N2,Leenderheide,Maastricht-Noord,Eindhoven,Vehicle Issues,16:00:00,370,2019-03-01,310,20,20,40,49,     ,13,0,3,0,0,10400,75,8,77,     ,5,0,0,0,0,0,client
2474150.0,2019-01-04,2019-01-04,17:09:00,17:27:47,50217,2673469,18.783,163.7,165.7,2.0,aflopend,De Hogt,Batadorp,Maastricht-Noord,Eindhoven,Accidents,17:00:00,370,2019-04-01,260,40,40,70,33,     ,9,0,0,0,0,10367,56,8,84,10,7,0,0,0,0,0,client
2474152.0,2019-01-04,2019-01-04,17:31:00,18:03:57,160700,4877087,32.95,163.7,167.7,2.0,aflopend,De Hogt,Batadorp,Maastricht-Noord,Eindhoven,Accidents,17:00:00,370,2019-04-01,260,40,40,70,33,     ,9,0,0,0,0,10367,56,8,84,10,7,0,0,0,0,0,client
2474779.0,2019-01-07,2019-01-07,17:14:00,17:45:34,66117,2094509,31.567,158.2,156.2,2.0,oplopend,Batadorp,De Hogt,Eindhoven,Maastricht-Noord,TrafficJams,17:00:00,370,2019-07-01,230,60,60,100,79,     ,67,0,0,6,1,10265,58,8,91,81,7,0,1,0,0,0,home
2474871.0,2019-01-07,2019-01-07,17:54:00,18:01:34,22700,3000000,7.567,159.9,156.9,2.0,oplopend,Batadorp,De Hogt,Eindhoven,Maastricht-Noord,TrafficJams,17:00:00,370,2019-07-01,230,60,60,100,79,     ,67,0,0,6,1,10265,58,8,91,81,7,0,1,0,0,0,home
2474764.0,2019-01-07,2019-01-07,17:04:00,17:09:32,11067,2000000,5.533,159.1,157.1,2.0,oplopend,Batadorp,De Hogt,Eindhoven,Maastricht-Noord,TrafficJams,17:00:00,370,2019-07-01,230,60,60,100,79,     ,67,0,0,6,1,10265,58,8,91,81,7,0,1,0,0,0,home
2475366.0,2019-01-08,2019-01-08,08:44:00,08:47:34,39233,1100000,3.567,132.5,121.5,2.0,oplopend,Boxtel,Best-West,'s-Hertogenbosch,Eindhoven,TrafficJams,08:00:00,370,2019-08-01,280,60,60,140,58,     ,29,0,1,1,1,10178,70,2,81,23,7,0,1,0,0,0,home
2475314.0,2019-01-08,2019-01-08,08:32:00,08:42:35,83483,7888189,10.583,127.0,123.0,2.0,oplopend,Vught,Boxtel-Noord,'s-Hertogenbosch,Eindhoven,TrafficJams,08:00:00,370,2019-08-01,280,60,60,140,58,     ,29,0,1,1,1,10178,70,2,81,23,7,0,1,0,0,0,home
2475418.0,2019-01-08,2019-01-08,08:58:00,09:07:34,19133,2000000,9.567,125.3,123.3,2.0,oplopend,Vught,Boxtel-Noord,'s-Hertogenbosch,Eindhoven,TrafficJams,08:00:00,370,2019-08-01,280,60,60,140,58,     ,29,0,1,1,1,10178,70,2,81,23,7,0,1,0,0,0,home
2475413.0,2019-01-08,2019-01-08,08:53:00,09:28:32,144700,4072233,35.533,132.0,129.0,2.0,oplopend,Boxtel-Noord,Boxtel,'s-Hertogenbosch,Eindhoven,TrafficJams,08:00:00,370,2019-08-01,280,60,60,140,58,     ,29,0,1,1,1,10178,70,2,81,23,7,0,1,0,0,0,home
